table_id,num_classes,n_total,n_train,n_test,num_features,num_continuous,num_categorical,missing_rate,rf_balanced_accuracy,spearman_gt_single,spearman_gt_permutation,spearman_gt_drop_column,topk_gt_single,topk_gt_permutation,topk_gt_drop_column
0,2,401,341,60,8,5,3,0.05236907730673317,0.8958333333333334,0.6904761904761906,0.3333333333333334,0.51234753829798,0.8,0.8,0.6
1,4,480,409,71,13,12,1,0.04823717948717949,0.8295454545454546,0.6648351648351648,-0.1868131868131868,-0.13774156949597716,0.8,0.4,0.0
2,3,454,386,68,14,12,2,0.050975456261799876,0.8272792022792023,0.2879120879120879,0.5428571428571429,0.1637204203050615,0.6,0.6,0.4
3,2,431,367,64,13,12,1,0.0480099946457255,1.0,0.7455302788783884,0.7687997682908687,0.09759000729485331,0.8,1.0,0.4
4,3,487,414,73,11,7,4,0.04853462759006907,0.920952380952381,0.39090909090909093,0.7363636363636363,0.6590491593140252,0.8,0.8,0.6
5,4,491,418,73,11,7,4,0.0533234586187743,0.8380681818181819,0.8000000000000002,0.8090909090909091,0.5022883414749454,1.0,0.8,0.8
6,2,466,396,70,14,11,3,0.049049662783568364,0.9852941176470589,0.9130918616621572,0.47032246463717975,-0.1301200097264711,0.8,0.8,0.2
7,4,431,366,65,12,10,2,0.049303944315545245,0.8797619047619047,0.6503496503496504,-0.31579141762012675,-0.3028244105377194,0.6,0.4,0.2
8,3,401,341,60,12,11,1,0.04821280133000831,0.8522727272727274,0.3426573426573427,-0.04912310940757527,0.251392546778551,0.6,0.4,0.6
9,4,492,418,74,12,6,6,0.049627371273712736,0.6268759018759019,0.7832167832167832,0.6713286713286714,0.7482517482517484,0.8,0.8,0.6
10,4,406,345,61,11,7,4,0.047021943573667714,0.8376068376068376,0.2545454545454546,0.6000000000000001,0.18223281903128208,0.6,0.8,0.6
11,2,458,390,68,14,10,4,0.05131004366812227,0.9821428571428572,0.2948296613559737,0.3025810495640656,0.041581729047487345,0.6,0.8,0.6
12,3,472,402,70,12,10,2,0.04961158192090395,0.8716317767042404,0.3216783216783217,0.31468531468531474,0.25089748992277794,0.6,0.6,0.4
13,4,494,420,74,12,10,2,0.04807692307692308,0.7168040293040293,0.6713286713286714,0.4125874125874127,0.4833632631534589,0.6,0.8,0.6
14,2,437,372,65,11,7,4,0.05055127938423133,0.9032567049808429,0.4909090909090909,0.5545454545454546,0.7853554716071041,0.8,0.8,0.8
15,2,438,372,66,11,6,5,0.05147364051473641,0.8787878787878788,0.5454545454545455,0.8374357893586238,0.3726779962499649,0.4,1.0,0.4
16,3,445,379,66,16,7,9,0.04719101123595506,0.8359233359233359,0.7823529411764706,0.65,0.4101261971823579,0.8,0.6,0.4
17,2,463,394,69,14,9,5,0.051064486269669855,0.9838709677419355,0.8021978021978022,0.1351267900940369,0.09376144618769909,1.0,0.4,0.4
18,4,462,393,69,12,11,1,0.055014430014430016,0.8849264705882353,0.7622377622377624,0.1398601398601399,0.3901635952087504,0.8,0.6,0.4
19,4,502,427,75,15,11,4,0.047675962815405044,0.7537907268170426,0.5392857142857141,0.7214285714285712,0.41614768193382157,0.8,0.6,0.6
20,2,479,407,72,9,8,1,0.047088842495940614,0.9538893344025661,0.48333333333333334,0.772315083521806,0.5477225575051661,0.6,0.8,0.8
21,4,447,381,66,14,12,2,0.05129434324065196,0.8208333333333333,0.5208791208791209,0.6131868131868132,-0.18784817083734218,0.6,0.8,0.4
22,2,497,423,74,15,8,7,0.047082494969818915,0.8925438596491229,0.5285714285714286,-0.4021449326983562,-0.34744731423494174,0.6,0.2,0.2
23,3,480,408,72,16,9,7,0.049609375,0.7775757575757575,0.4794117647058824,0.6647058823529411,0.5472000208891816,0.6,0.6,0.6
24,2,439,373,66,16,11,5,0.04968678815489749,0.9852941176470589,0.5577632120757341,0.4817192321372854,0.1924703040138163,1.0,0.6,0.6
25,2,447,380,67,16,12,4,0.05103467561521253,0.9129464285714286,0.2958058195968932,0.19015044447792026,0.20998523681924636,0.4,0.6,0.4
26,3,417,354,63,13,11,2,0.04740822726434237,0.8334859584859585,0.6813186813186813,0.6685013201750863,0.6372468349546399,0.6,0.8,0.8
27,4,498,424,74,8,4,4,0.05120481927710843,0.888888888888889,0.6190476190476191,0.6904761904761906,0.8263621207201486,0.8,0.8,1.0
28,2,471,401,70,13,10,3,0.04899559039686428,0.9387923904052936,0.5879120879120878,0.7345261419207739,0.008988968316207742,0.6,1.0,0.6
29,2,436,370,66,16,11,5,0.05318233944954128,0.8023897058823529,0.35614432011168246,-0.13823529411764704,0.08849596025161967,0.4,0.2,0.4
30,4,413,351,62,12,10,2,0.050242130750605324,0.8483585858585858,0.7832167832167832,0.8321678321678322,0.27670795499364675,1.0,0.8,0.6
31,4,404,342,62,13,9,4,0.0456968773800457,0.8420454545454545,0.46153846153846156,0.6022191359197144,0.3905620046175265,0.4,0.8,0.6
32,4,463,394,69,16,10,6,0.048056155507559394,0.9704861111111112,0.4970588235294117,-0.07334675749781334,,0.6,0.4,0.2
33,4,412,351,61,15,13,2,0.05048543689320388,0.5094373219373219,0.6178571428571428,0.4642857142857142,0.052349640687242724,0.6,0.8,0.6
34,4,504,428,76,12,7,5,0.048445767195767195,0.8560160427807487,0.7972027972027973,0.35664335664335667,0.1281341650164046,1.0,0.6,0.4
35,2,400,340,60,15,11,4,0.0505,1.0,0.7453086086009535,0.32480924643931414,0.2837303569445734,0.6,0.4,0.4
36,4,448,381,67,12,8,4,0.04780505952380952,0.7070494864612511,0.49650349650349657,0.3426573426573427,-0.05674329723370735,0.8,0.6,0.2
37,3,403,343,60,11,10,1,0.05346266636589217,0.8492822966507177,0.4272727272727273,0.6818181818181819,0.5963553727767786,0.8,0.8,0.8
38,2,401,340,61,9,6,3,0.04821280133000831,0.9848484848484849,0.9166666666666666,0.7668115805072325,0.4107919181288746,1.0,0.8,0.6
39,3,452,384,68,16,12,4,0.047428097345132744,0.9166666666666666,0.6961002620364701,-0.15,0.06779076806833005,0.8,0.0,0.4
40,2,490,417,73,10,8,2,0.05,0.9251937984496124,0.9636363636363635,0.6442202750968412,0.5695214286468869,1.0,0.6,0.6
41,2,451,384,67,16,11,5,0.05072062084257206,0.9642857142857143,0.85,0.8320559591489952,0.0560979855648442,0.8,0.6,0.4
42,3,452,385,67,13,7,6,0.05411844792375766,0.8581699346405228,0.5494505494505494,0.17981066223636413,0.3290582665836403,0.6,0.4,0.6
43,4,434,368,66,11,10,1,0.05194805194805195,0.8625816993464053,0.8727272727272729,0.4000000000000001,0.3653006119817785,0.8,0.6,0.6
44,4,408,347,61,13,10,3,0.051470588235294115,0.757806324110672,0.25274725274725274,-0.12087912087912088,0.19532343099765895,0.4,0.2,0.6
45,3,468,397,71,13,9,4,0.05325443786982249,0.7389759665621735,0.11538461538461539,0.5879120879120878,0.13259870882635916,0.4,0.6,0.2
46,4,426,363,63,9,4,5,0.05268648930620762,0.9063311688311688,0.41666666666666663,0.8833333333333333,0.3096261412396175,0.8,1.0,0.6
47,2,426,362,64,16,13,3,0.05369718309859155,0.9291497975708503,0.4002944424395769,0.36588659273165597,0.0429586319611895,0.8,0.6,0.0
