table_id,num_classes,model,train_accuracy,train_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auc,test_logloss
0,2,dummy,0.592375366568915,0.5,0.6,0.5,0.375,0.5,0.6731322855905173
0,2,logistic,0.8768328445747801,0.8792114822993091,0.8333333333333334,0.8333333333333334,0.8285714285714285,0.9097222222222222,0.38808613287009186
0,2,random_forest,0.9912023460410557,0.990330507870931,0.8,0.7986111111111112,0.7942857142857143,0.9328703703703703,0.36053759155789733
0,2,extra_trees,0.9794721407624634,0.9815513925493269,0.8666666666666667,0.875,0.8642533936651584,0.9421296296296297,0.38726402736139176
1,4,dummy,0.3105134474327628,0.25,0.30985915492957744,0.25,0.11827956989247312,0.5,1.3642110665052174
1,4,logistic,0.5574572127139364,0.5758918596028797,0.5633802816901409,0.5886828814460393,0.562227214377407,0.8159034051429835,0.9581844922363322
1,4,random_forest,0.9951100244498777,0.9952792375523292,0.5492957746478874,0.5635300372142478,0.5546756007183614,0.7957862633802364,1.0149242688927695
1,4,extra_trees,0.9926650366748166,0.9936358076599648,0.5352112676056338,0.5416334396597555,0.5431513566525008,0.7793181722492527,1.0841059341106845
2,3,dummy,0.37305699481865284,0.3333333333333333,0.38235294117647056,0.3333333333333333,0.1843971631205674,0.5,1.0872201001753243
2,3,logistic,0.7797927461139896,0.7897298497663461,0.6911764705882353,0.7058404558404558,0.6846996498159289,0.8628073778073778,0.6474629110869541
2,3,random_forest,0.9896373056994818,0.9905041903217086,0.6911764705882353,0.7037037037037037,0.6952287494238517,0.8581422281422282,0.6246920535998273
2,3,extra_trees,0.9974093264248705,0.9976851851851851,0.6911764705882353,0.7104700854700855,0.6862121513284304,0.8617839567839568,0.6298825745793624
3,2,dummy,0.5912806539509536,0.5,0.59375,0.5,0.37254901960784315,0.5,0.6754772061633185
3,2,logistic,0.9536784741144414,0.9525960061443932,1.0,1.0,1.0,1.0,0.07089696483711258
3,2,random_forest,0.9945504087193461,0.9953917050691244,0.984375,0.986842105263158,0.9838993710691823,1.0,0.06286478490477915
3,2,extra_trees,0.9945504087193461,0.9953917050691244,0.984375,0.986842105263158,0.9838993710691823,1.0,0.09920358374363591
4,3,dummy,0.3864734299516908,0.3333333333333333,0.3835616438356164,0.3333333333333333,0.18481848184818483,0.5,1.0892920510901134
4,3,logistic,0.9251207729468599,0.9271512113617377,0.9178082191780822,0.9195238095238096,0.922956627390125,0.9892140860537088,0.19652403790962214
4,3,random_forest,0.9927536231884058,0.9926117376775272,0.9863013698630136,0.9866666666666667,0.9873493256951903,0.9991931216931217,0.2373231260614505
4,3,extra_trees,0.9975845410628019,0.9976190476190476,0.958904109589041,0.96,0.9617742517129463,0.9959656084656086,0.3403392776647995
5,4,dummy,0.3062200956937799,0.25,0.3013698630136986,0.25,0.11578947368421053,0.5,1.3631585988840895
5,4,logistic,0.3684210526315789,0.3840505988943489,0.1780821917808219,0.1683784965034965,0.17028191985088537,0.486308496070493,1.4594503096671074
5,4,random_forest,0.9952153110047847,0.99609375,0.2328767123287671,0.21678321678321677,0.21290545203588682,0.5370964271796316,1.4358537952723556
5,4,extra_trees,0.9521531100478469,0.9600497159090909,0.3150684931506849,0.3213505244755245,0.3075549044256295,0.5331663788997381,1.4494388639935
