table_id,num_classes,feature_column,global_node_id,layer,node_in_layer,feature_type,cardinality,observation_type,gt_importance,single_feature_balanced_accuracy,permutation_importance,drop_column_importance
0,2,0,17,2,0,continuous,0,continuous_scalar,0.13493644937788218,0.4930555555555556,0.09027777777777779,0.0625
0,2,1,19,2,2,categorical,3,prototype_discretization,0.003679693729268695,0.5,0.00277777777777779,0.0
0,2,2,12,1,4,categorical,3,threshold_binning,0.12245725105995872,0.6527777777777778,0.001388888888888906,0.006944444444444531
0,2,3,1,0,1,continuous,0,continuous_scalar,0.18583193933303618,0.625,0.023611111111111138,0.03472222222222221
0,2,4,2,0,2,continuous,0,continuous_scalar,0.1281234946851594,0.5208333333333334,0.011111111111111117,0.03472222222222221
0,2,5,22,2,5,categorical,6,prototype_discretization,0.15307100266164592,0.6805555555555556,0.01527777777777779,0.05555555555555558
0,2,6,18,2,1,continuous,0,continuous_scalar,0.18509199846461713,0.5763888888888888,0.17638888888888893,0.16666666666666663
0,2,7,21,2,4,continuous,0,continuous_scalar,0.08680817068843176,0.3819444444444444,0.03888888888888893,0.03472222222222221
1,4,0,2,0,2,continuous,0,continuous_scalar,0.002278528866911437,0.28013689526847424,0.0,0.0
1,4,1,32,3,5,continuous,0,continuous_scalar,0.028097974203068664,0.7153774587985114,0.017424242424242453,-0.011363636363636354
1,4,2,5,0,5,continuous,0,continuous_scalar,0.1581105079436417,0.5277777777777778,0.003282828282828265,0.0
1,4,3,27,3,0,continuous,0,continuous_scalar,0.0853140664995123,0.36273923444976075,0.04909622541201497,0.03472222222222221
1,4,4,19,2,1,continuous,0,continuous_scalar,0.008860972789515757,0.25299043062200954,-0.0026515151515151382,0.0
1,4,5,1,0,1,continuous,0,continuous_scalar,0.008286865873703635,0.2187666135034556,0.0018939393939394033,0.0
1,4,6,35,3,8,continuous,0,continuous_scalar,0.1542642287641508,0.8422713981924508,0.08863636363636367,-0.008838383838383868
1,4,7,9,1,1,categorical,2,prototype_discretization,0.03460573550584031,0.30492424242424243,0.006818181818181812,0.0
1,4,8,4,0,4,continuous,0,continuous_scalar,0.0948402235606108,0.3519072301967039,0.0037878787878787624,0.0
1,4,9,13,1,5,continuous,0,continuous_scalar,0.17125280690986483,0.7431552365762891,0.02058080808080809,-0.018308080808080773
1,4,10,24,2,6,continuous,0,continuous_scalar,0.15612177781158387,0.7703017012227539,0.09267676767676772,0.0
1,4,11,20,2,2,continuous,0,continuous_scalar,0.05687871882462283,0.2930622009569378,0.059090909090909104,0.02083333333333337
1,4,12,29,3,2,continuous,0,continuous_scalar,0.041087592446973076,0.23790536948431684,0.012500000000000022,-0.011363636363636354
2,3,0,28,3,3,continuous,0,continuous_scalar,0.06131671097532267,0.4533475783475784,0.06688034188034184,0.012820512820512775
2,3,1,25,3,0,continuous,0,continuous_scalar,0.07251112271486468,0.2795584045584046,0.004415954415954393,0.031339031339031376
2,3,2,3,0,3,continuous,0,continuous_scalar,0.0892985706770734,0.443019943019943,-0.010897435897435904,-0.01388888888888884
2,3,3,8,1,0,continuous,0,continuous_scalar,0.09456509039520512,0.28062678062678065,0.025498575498575482,-0.007834757834757844
2,3,4,0,0,0,continuous,0,continuous_scalar,0.07158841570830739,0.34437321937321935,-0.041239316239316315,-0.059116809116809055
2,3,5,26,3,1,continuous,0,continuous_scalar,0.09566564251550572,0.6363960113960114,0.24415954415954416,-0.059116809116809055
2,3,6,13,1,5,continuous,0,continuous_scalar,0.09174529060364123,0.5381054131054132,0.011680911680911654,0.0
2,3,7,16,2,1,continuous,0,continuous_scalar,0.07652161908349728,0.4836182336182336,-0.01509971509971506,-0.026709401709401837
2,3,8,9,1,1,categorical,3,threshold_binning,0.036852701075475905,0.3162393162393163,-0.00512820512820511,-0.026709401709401837
2,3,9,15,2,0,categorical,4,prototype_discretization,0.03391650668953778,0.29914529914529914,0.0,-0.01388888888888884
2,3,10,32,3,7,continuous,0,continuous_scalar,0.04117345991866489,0.3543447293447293,-0.0183760683760684,-0.026709401709401837
2,3,11,14,1,6,continuous,0,continuous_scalar,0.09427692912131828,0.3397435897435897,0.030911680911680905,0.004629629629629761
2,3,12,21,2,6,continuous,0,continuous_scalar,0.08390920514731752,0.3376068376068376,0.07307692307692304,-0.006766381766381779
2,3,13,2,0,2,continuous,0,continuous_scalar,0.056658735374268125,0.40883190883190884,-0.011111111111111072,-0.040598290598290676
3,2,0,4,0,4,continuous,0,continuous_scalar,0.06751219628709061,0.4959514170040486,0.0,0.0
3,2,1,10,1,2,categorical,3,threshold_binning,0.0002544894537528369,0.4888663967611336,0.0,0.0
3,2,2,26,3,2,continuous,0,continuous_scalar,0.010905940651754048,0.5394736842105263,0.0,0.0
3,2,3,19,2,3,continuous,0,continuous_scalar,0.020367599680711782,0.5080971659919028,0.0,0.0
3,2,4,23,2,7,continuous,0,continuous_scalar,0.2134535177972326,0.9736842105263157,0.01315789473684208,0.0
3,2,5,13,1,5,continuous,0,continuous_scalar,0.005906034436771997,0.5323886639676113,0.0,0.0
3,2,6,7,0,7,continuous,0,continuous_scalar,0.19825446750874523,0.9544534412955465,0.0,0.0
3,2,7,28,3,4,continuous,0,continuous_scalar,0.023760174094910963,0.49493927125506076,0.0,0.0
3,2,8,18,2,2,continuous,0,continuous_scalar,0.018831731804496567,0.5141700404858299,0.0,0.0
3,2,9,25,3,1,continuous,0,continuous_scalar,0.19494946806314836,0.9736842105263157,0.010526315789473672,0.013157894736842035
3,2,10,14,1,6,continuous,0,continuous_scalar,0.2025162331939166,0.986842105263158,0.007894736842105222,0.013157894736842035
3,2,11,9,1,1,continuous,0,continuous_scalar,0.02820346288650265,0.48785425101214575,0.0,0.0
3,2,12,20,2,4,continuous,0,continuous_scalar,0.015084684140965733,0.8441295546558705,0.0,0.0
4,3,0,30,3,6,continuous,0,continuous_scalar,0.1407227124793967,0.4271428571428572,0.040857142857142856,0.0
4,3,1,24,3,0,categorical,2,prototype_discretization,0.0691139787172196,0.4066666666666667,0.028095238095238062,0.016666666666666607
4,3,2,21,2,6,continuous,0,continuous_scalar,0.005398566926658118,0.4295238095238095,0.038285714285714326,-0.013333333333333197
4,3,3,22,2,7,categorical,4,prototype_discretization,0.03614188609108447,0.3057142857142857,0.00857142857142854,0.02857142857142858
4,3,4,0,0,0,categorical,5,prototype_discretization,0.005520484542189367,0.3109523809523809,-0.003238095238095173,-0.013333333333333197
4,3,5,32,3,8,categorical,3,prototype_discretization,0.006393618125514146,0.36571428571428566,0.002095238095238128,0.0033333333333334103
4,3,6,25,3,1,continuous,0,continuous_scalar,0.23116987909955664,0.7414285714285714,0.1582857142857143,0.016666666666666607
4,3,7,28,3,4,continuous,0,continuous_scalar,0.06607396126790006,0.27238095238095233,0.0195238095238095,0.016666666666666607
4,3,8,33,3,9,continuous,0,continuous_scalar,0.004086029751231463,0.4042857142857143,0.022857142857142843,0.011904761904761973
4,3,9,14,1,6,continuous,0,continuous_scalar,0.19405956726470608,0.3442857142857143,0.04666666666666661,0.02857142857142858
4,3,10,17,2,2,continuous,0,continuous_scalar,0.24131931573454338,0.7747619047619048,0.243047619047619,0.07523809523809522
5,4,0,17,2,1,categorical,2,threshold_binning,0.0495126253944357,0.3607954545454546,0.005397727272727271,-0.035511363636363646
5,4,1,9,1,1,continuous,0,continuous_scalar,0.09960850382630915,0.2991695804195804,0.0701704545454546,0.026988636363636354
5,4,2,15,1,7,continuous,0,continuous_scalar,0.15138823443213767,0.4059222027972028,0.05437062937062944,0.08457167832167845
5,4,3,0,0,0,categorical,4,threshold_binning,0.13608427483088517,0.45454545454545453,0.016673951048951106,0.019230769230769273
5,4,4,18,2,2,continuous,0,continuous_scalar,0.01193760220648845,0.22607080419580422,0.01492569930069929,0.0042613636363636465
5,4,5,3,0,3,categorical,2,threshold_binning,0.04921168778302974,0.3112980769230769,0.0,0.015625
5,4,6,25,3,3,continuous,0,continuous_scalar,0.12013558754827754,0.36319930069930073,0.012500000000000112,0.0042613636363636465
5,4,7,16,2,0,continuous,0,continuous_scalar,0.14080507026384062,0.4519230769230769,0.10476398601398607,0.11090472027972043
5,4,8,24,3,2,categorical,3,prototype_discretization,0.044822760768421205,0.3146853146853147,0.0,0.011363636363636354
5,4,9,6,0,6,continuous,0,continuous_scalar,0.030297316272059775,0.2671547202797203,0.01335227272727273,0.0042613636363636465
5,4,10,27,3,5,continuous,0,continuous_scalar,0.16619633667411499,0.6859702797202797,0.3269667832167833,0.050480769230769273
6,2,0,2,0,2,continuous,0,continuous_scalar,0.06066428840328464,0.5580065359477124,0.0,0.01388888888888895
6,2,1,16,1,8,categorical,3,threshold_binning,0.02388752352247368,0.48774509803921573,0.0,0.0
6,2,2,23,2,6,continuous,0,continuous_scalar,0.13205763972606463,0.9297385620915033,0.031045751633986995,0.0
6,2,3,19,2,2,continuous,0,continuous_scalar,0.12493106031300003,0.9428104575163399,0.011111111111111183,0.01388888888888895
