table_id,num_classes,n_total,n_train,n_test,num_features,num_continuous,num_categorical,missing_rate,rf_balanced_accuracy,spearman_gt_single,spearman_gt_permutation,spearman_gt_drop_column,topk_gt_single,topk_gt_permutation,topk_gt_drop_column
0,2,401,341,60,8,5,3,0.05236907730673317,0.7986111111111112,0.8095238095238096,0.5000000000000001,0.6506496351610379,1.0,0.6,0.8
1,4,480,409,71,13,12,1,0.04823717948717949,0.5635300372142478,0.5494505494505494,0.06593406593406594,0.19917488740028028,0.6,0.6,0.6
2,3,454,386,68,14,12,2,0.050975456261799876,0.7037037037037037,0.432967032967033,0.64978131193624,0.11582325936750673,0.6,0.8,0.2
3,2,431,367,64,13,12,1,0.0480099946457255,0.986842105263158,0.6299868408234353,-0.27579276679092324,0.03383324762254792,1.0,0.2,0.4
4,3,487,414,73,11,7,4,0.04853462759006907,0.9866666666666667,0.27272727272727276,0.4510262271024232,0.32025544522128263,0.6,0.6,0.4
5,4,491,418,73,11,7,4,0.0533234586187743,0.21678321678321677,0.23636363636363636,0.3454545454545455,0.5181818181818182,0.6,0.6,0.8
6,2,466,396,70,14,11,3,0.049049662783568364,0.6977124183006536,0.7494505494505495,0.17362637362637365,0.6320697707705624,0.8,0.6,0.6
7,4,431,366,65,12,10,2,0.049303944315545245,0.8904761904761904,0.7412587412587414,0.4763579984700755,-0.17541954517041056,0.8,0.6,0.4
8,3,401,341,60,12,11,1,0.04821280133000831,0.6079545454545455,0.7810870121972561,0.43356643356643365,0.3728772360376539,1.0,0.8,0.6
9,4,492,418,74,12,6,6,0.049627371273712736,0.23062770562770563,0.7762237762237763,0.16083916083916086,0.3887921899277822,0.8,0.6,0.6
10,4,406,345,61,11,7,4,0.047021943573667714,0.34866767219708394,0.5272727272727273,0.6636363636363638,-0.3090909090909091,0.8,0.6,0.4
11,2,458,390,68,14,10,4,0.05131004366812227,0.95,0.004400442706805578,0.11895234282663615,0.3202645957096467,0.4,0.4,0.4
12,3,472,402,70,12,10,2,0.04961158192090395,0.3517713365539452,0.7062937062937064,-0.4545454545454546,-0.20979020979020982,0.8,0.0,0.4
13,4,494,420,74,12,10,2,0.04807692307692308,0.5908424908424909,0.46153846153846156,0.06993006993006995,0.1225921319592106,0.6,0.6,0.4
14,2,437,372,65,11,7,4,0.05055127938423133,0.5574712643678161,0.4419145861508591,-0.13636363636363638,-0.12756297332189748,0.8,0.4,0.2
15,2,438,372,66,11,6,5,0.05147364051473641,0.9393939393939394,0.346242356159436,0.4000000000000001,0.32830709371798195,0.4,0.8,0.8
16,3,445,379,66,16,7,9,0.04719101123595506,0.8338513338513338,0.4852941176470588,0.3333347836144341,0.27105671295474604,0.8,0.8,0.8
17,2,463,394,69,14,9,5,0.051064486269669855,0.9414261460101867,0.8945054945054945,0.3060471540222796,0.46880723093849547,1.0,0.4,0.4
18,4,462,393,69,12,11,1,0.055014430014430016,0.3529411764705882,-0.5174825174825175,0.2027972027972028,0.43356643356643365,0.2,0.4,0.6
19,4,502,427,75,15,11,4,0.047675962815405044,0.44401629072681703,0.4642857142857142,-0.21071428571428572,-0.27499999999999997,0.4,0.2,0.2
20,2,479,407,72,9,8,1,0.047088842495940614,1.0,0.5833333333333334,0.7302967433402214,0.7302967433402214,0.6,0.8,0.8
21,4,447,381,66,14,12,2,0.05129434324065196,0.7083333333333333,0.49890109890109896,0.5692307692307692,0.09172044478515878,0.8,0.4,0.4
22,2,497,423,74,15,8,7,0.047082494969818915,0.6600877192982456,0.23928571428571427,0.6642857142857141,0.45617246516241,0.6,0.8,0.6
23,3,480,408,72,16,9,7,0.049609375,0.48484848484848486,0.5489331876101552,0.39999999999999997,0.18519026592061247,0.6,0.8,0.2
24,2,439,373,66,16,11,5,0.04968678815489749,0.6213235294117647,0.4441176470588235,0.6911764705882353,-0.07116619104293843,0.6,0.6,0.0
25,2,447,380,67,16,12,4,0.05103467561521253,0.853125,0.0411764705882353,0.10746110173511009,0.1318511952120849,0.2,0.2,0.4
26,3,417,354,63,13,11,2,0.04740822726434237,0.6127899877899878,0.0879120879120879,0.3131868131868132,-0.06685885255537534,0.4,0.6,0.4
27,4,498,424,74,8,4,4,0.05120481927710843,0.7723214285714286,0.04761904761904763,0.2380952380952381,0.1666666666666667,0.6,0.6,0.6
28,2,471,401,70,13,10,3,0.04899559039686428,0.9325889164598842,0.6263736263736264,0.7079111155835308,0.6289709020331511,0.8,0.8,0.8
29,2,436,370,66,16,11,5,0.05318233944954128,0.515625,0.28991913661984064,-0.09418692763284163,0.27393255039432385,0.4,0.2,0.4
30,4,413,351,62,12,10,2,0.050242130750605324,0.6505050505050505,0.1891421464513535,0.7132867132867133,-0.3633298237609784,0.4,0.6,0.2
31,4,404,342,62,13,9,4,0.0456968773800457,0.7159090909090909,0.5384615384615384,0.6272358065840317,0.42106717133068344,0.6,0.8,0.6
