table_id,num_classes,model,train_accuracy,train_balanced_accuracy,test_accuracy,test_balanced_accuracy,test_macro_f1,test_auc,test_logloss
0,2,dummy,0.592375366568915,0.5,0.6,0.5,0.375,0.5,0.6731322855905173
0,2,logistic,0.8973607038123167,0.893172590640359,0.8833333333333333,0.8958333333333334,0.8817234581807942,0.9710648148148149,0.2682740343889615
0,2,random_forest,0.9912023460410557,0.9914523826483368,0.8833333333333333,0.8958333333333334,0.8817234581807942,0.9560185185185185,0.3247801589499915
0,2,extra_trees,0.9618768328445748,0.9644561578460005,0.8833333333333333,0.8888888888888888,0.8806479113384484,0.9479166666666667,0.3642864039994326
1,4,dummy,0.3105134474327628,0.25,0.30985915492957744,0.25,0.11827956989247312,0.5,1.3642110665052174
1,4,logistic,0.9070904645476773,0.908547957013078,0.8169014084507042,0.8221690590111643,0.8117564428540038,0.968392759928583,0.42786594961187835
1,4,random_forest,0.9951100244498777,0.9960629921259843,0.8450704225352113,0.8295454545454546,0.8337431962751656,0.9768302549982426,0.34239488833884874
1,4,extra_trees,0.9926650366748166,0.9936358076599648,0.8732394366197183,0.8617424242424243,0.8663518919273395,0.9762090026373517,0.39839250853103864
2,3,dummy,0.37305699481865284,0.3333333333333333,0.38235294117647056,0.3333333333333333,0.1843971631205674,0.5,1.0872201001753243
2,3,logistic,0.8575129533678757,0.8629045494921407,0.7794117647058824,0.758903133903134,0.7679891601492855,0.9079933492433492,0.5455247356748442
2,3,random_forest,0.9974093264248705,0.9968253968253968,0.8382352941176471,0.8272792022792023,0.8359799366664354,0.9639713989713989,0.42912412740089884
2,3,extra_trees,1.0,1.0,0.8235294117647058,0.8165954415954416,0.8179788838612367,0.9461094923594923,0.5058320106154364
3,2,dummy,0.5912806539509536,0.5,0.59375,0.5,0.37254901960784315,0.5,0.6754772061633185
3,2,logistic,0.9863760217983651,0.9853917050691244,1.0,1.0,1.0,1.0,0.04688933384152205
3,2,random_forest,0.997275204359673,0.9976958525345623,1.0,1.0,1.0,1.0,0.028642778826623316
3,2,extra_trees,1.0,1.0,1.0,1.0,1.0,1.0,0.07051049259772076
4,3,dummy,0.3864734299516908,0.3333333333333333,0.3835616438356164,0.3333333333333333,0.18481848184818483,0.5,1.0892920510901134
4,3,logistic,0.9057971014492754,0.9086988304093567,0.863013698630137,0.8685714285714287,0.8639858906525574,0.9782429869222322,0.2699583057216259
4,3,random_forest,0.9975845410628019,0.9979166666666667,0.9178082191780822,0.920952380952381,0.9194873071179691,0.9851592293101726,0.31082999052635246
4,3,extra_trees,0.9951690821256038,0.9958333333333332,0.9178082191780822,0.920952380952381,0.9194873071179691,0.9880410801637217,0.36812184140255033
5,4,dummy,0.3062200956937799,0.25,0.3013698630136986,0.25,0.11578947368421053,0.5,1.3631585988840895
5,4,logistic,0.8588516746411483,0.8678737331081081,0.821917808219178,0.8230987762237763,0.829102564102564,0.9587313808482538,0.49186574094251884
5,4,random_forest,0.992822966507177,0.9923650568181819,0.8356164383561644,0.8380681818181819,0.8449074074074074,0.965995578853551,0.4689029998005282
5,4,extra_trees,0.992822966507177,0.9923650568181819,0.821917808219178,0.8309659090909092,0.8394043663977219,0.9449575385914395,0.6008176080195199
6,2,dummy,0.5151515151515151,0.5,0.5142857142857142,0.5,0.33962264150943394,0.5,0.6927404622925324
6,2,logistic,0.9267676767676768,0.9261642156862745,0.9142857142857143,0.9125816993464052,0.9136513157894737,0.9852941176470588,0.1873286352040928
6,2,random_forest,0.9924242424242424,0.9921875,0.9857142857142858,0.9852941176470589,0.9856879983643426,0.9975490196078431,0.08024630734586474
6,2,extra_trees,0.9924242424242424,0.9921875,0.9714285714285714,0.9705882352941176,0.9713349713349714,1.0,0.10601741851192273
7,4,dummy,0.3251366120218579,0.25,0.3230769230769231,0.25,0.12209302325581395,0.5,1.3399605426418342
7,4,logistic,0.9043715846994536,0.9159586578794348,0.9076923076923077,0.9154761904761904,0.9051406926406926,0.9797510822510823,0.328136253599213
7,4,random_forest,0.9918032786885246,0.9913764426148327,0.8615384615384616,0.8797619047619047,0.861328711938468,0.9891666666666666,0.3404640742955485
7,4,extra_trees,0.9972677595628415,0.9978991596638656,0.9076923076923077,0.9285714285714286,0.9121526621526621,0.988982683982684,0.4185038167910102
8,3,dummy,0.3724340175953079,0.3333333333333333,0.36666666666666664,0.3333333333333333,0.17886178861788618,0.5,1.0883291433092857
8,3,logistic,0.9413489736070382,0.9436406853637678,0.8833333333333333,0.8825757575757577,0.8863505136669172,0.9733353269537481,0.27755912210933786
8,3,random_forest,0.9970674486803519,0.9973333333333333,0.85,0.8522727272727274,0.8562931006307807,0.9718650318979267,0.34394625047579824
8,3,extra_trees,0.9970674486803519,0.9973333333333333,0.8666666666666667,0.8731060606060606,0.8691678691678691,0.967180023923445,0.39768530190099166
9,4,dummy,0.37799043062200954,0.25,0.3783783783783784,0.25,0.13725490196078433,0.5,1.308458234100297
9,4,logistic,0.6507177033492823,0.6518024518356287,0.4189189189189189,0.4544733044733045,0.3702042160737813,0.7685768348167021,1.1181441658466997
9,4,random_forest,0.9952153110047847,0.9955768124280783,0.6891891891891891,0.6268759018759019,0.6161387631975868,0.88340688522155,0.7776650943620566
9,4,extra_trees,0.9665071770334929,0.9774142507145773,0.581081081081081,0.5607503607503608,0.5258944543828264,0.8492035343269684,0.8984267906188758
10,4,dummy,0.2985507246376812,0.25,0.29508196721311475,0.25,0.11392405063291139,0.5,1.3753276150543796
10,4,logistic,0.7594202898550725,0.7545077117234149,0.819672131147541,0.8090120663650076,0.797406329302881,0.9266421017233261,0.5579553963795745
10,4,random_forest,0.9739130434782609,0.9734364174529377,0.8524590163934426,0.8376068376068376,0.8301282051282051,0.9666070363744783,0.43617453173461185
10,4,extra_trees,0.9681159420289855,0.9665711461324582,0.7868852459016393,0.7713675213675214,0.7629262550315181,0.9480029133543155,0.5436249542049478
11,2,dummy,0.5871794871794872,0.5,0.5882352941176471,0.5,0.37037037037037035,0.5,0.6774967043923015
11,2,logistic,0.9897435897435898,0.9903441915972768,1.0,1.0,1.0,1.0,0.0609591539646645
11,2,random_forest,1.0,1.0,0.9852941176470589,0.9821428571428572,0.9847362514029181,1.0,0.0821860687665285
11,2,extra_trees,1.0,1.0,0.9852941176470589,0.9821428571428572,0.9847362514029181,1.0,0.16354176348062266
12,3,dummy,0.3805970149253731,0.3333333333333333,0.38571428571428573,0.3333333333333333,0.18556701030927836,0.5,1.09114269363583
12,3,logistic,0.8233830845771144,0.8177971127955114,0.7142857142857143,0.7099302200751477,0.7094779807519158,0.8573292022597935,0.8374903196268485
12,3,random_forest,0.9900497512437811,0.9898955750882729,0.8714285714285714,0.8716317767042404,0.8695487974557742,0.957765416163031,0.4323621788612267
12,3,extra_trees,0.9800995024875622,0.9808533617116941,0.8142857142857143,0.7984970477724102,0.7975232070976751,0.9299511612236838,0.5081975169264199
13,4,dummy,0.2857142857142857,0.25,0.28378378378378377,0.25,0.11052631578947368,0.5,1.3702649130540143
13,4,logistic,0.8357142857142857,0.8364378852536747,0.8243243243243243,0.8129578754578753,0.8131184340486666,0.944248573924958,0.4681146706050683
13,4,random_forest,0.9976190476190476,0.9979166666666667,0.7567567567567568,0.7168040293040293,0.7174733161575266,0.938822376014999,0.5141597137994632
13,4,extra_trees,0.9785714285714285,0.9808025130393552,0.7972972972972973,0.7824175824175825,0.7788602806751628,0.9272350300516864,0.6006011396312377
14,2,dummy,0.5510752688172043,0.5,0.5538461538461539,0.5,0.3564356435643564,0.5,0.6873526264413221
14,2,logistic,0.8225806451612904,0.8257046881846064,0.8,0.8093869731800767,0.8,0.8659003831417624,0.46446833398229054
14,2,random_forest,0.989247311827957,0.9885789396816124,0.9076923076923077,0.9032567049808429,0.9058880308880309,0.9473180076628352,0.3190364527836238
14,2,extra_trees,0.9623655913978495,0.9619687454359573,0.8461538461538461,0.8477011494252873,0.8452380952380952,0.9099616858237549,0.4003474696136311
15,2,dummy,0.5053763440860215,0.5,0.5,0.5,0.3333333333333333,0.5,0.6932049940536791
15,2,logistic,0.9758064516129032,0.9758325624421832,0.9242424242424242,0.9242424242424243,0.9242250287026407,0.9733700642791552,0.19561676512248513
15,2,random_forest,0.9946236559139785,0.994623034227567,0.8787878787878788,0.8787878787878788,0.8786764705882353,0.9568411386593203,0.260704380393038
15,2,extra_trees,0.989247311827957,0.9892460684551341,0.8787878787878788,0.8787878787878788,0.8786764705882353,0.9641873278236914,0.2552826117419552
16,3,dummy,0.39050131926121373,0.3333333333333333,0.3939393939393939,0.3333333333333333,0.18840579710144925,0.5,1.0875563383475673
16,3,logistic,0.9155672823218998,0.9166243772542986,0.8636363636363636,0.8615643615643616,0.8646240925310692,0.937751249872462,0.4749041002723008
16,3,random_forest,1.0,1.0,0.8333333333333334,0.8359233359233359,0.8386650386650386,0.9097369871991084,0.6049714406566198
16,3,extra_trees,0.9947229551451188,0.9954954954954954,0.6212121212121212,0.616032116032116,0.5955571979962224,0.8153839776945837,0.7802518605733766
17,2,dummy,0.5482233502538071,0.5,0.5507246376811594,0.5,0.35514018691588783,0.5,0.688004973775428
17,2,logistic,0.9746192893401016,0.9748751560549314,1.0,1.0,1.0,1.0,0.08630699767670452
17,2,random_forest,0.9949238578680203,0.9953703703703703,0.9855072463768116,0.9838709677419355,0.9853097721950181,1.0,0.07055756568616063
17,2,extra_trees,1.0,1.0,0.9710144927536232,0.967741935483871,0.9705128205128205,0.9983022071307301,0.1532785784895475
18,4,dummy,0.2926208651399491,0.25,0.2898550724637681,0.25,0.11235955056179775,0.5,1.3820256069386736
18,4,logistic,0.8600508905852418,0.8625206072685219,0.782608695652174,0.7849264705882353,0.7839043309631546,0.953318575253033,0.5140837507558678
18,4,random_forest,0.989821882951654,0.9903890160183066,0.8840579710144928,0.8849264705882353,0.8860381652661065,0.9740587708232785,0.3961921357267283
18,4,extra_trees,0.9872773536895675,0.987299771167048,0.8695652173913043,0.8674632352941176,0.8714593596059114,0.9803887610922453,0.4372452193095155
19,4,dummy,0.2857142857142857,0.25,0.28,0.25,0.109375,0.5,1.3788613776739056
19,4,logistic,0.6370023419203747,0.6321520603570034,0.5733333333333334,0.5600877192982456,0.5651300494042429,0.7811599389888864,1.1107629135892134
19,4,random_forest,0.9929742388758782,0.9926776069796427,0.76,0.7537907268170426,0.7562514359911554,0.9590574605706184,0.529209098247723
19,4,extra_trees,0.9976580796252927,0.9978448275862069,0.72,0.7044486215538848,0.7046713138490015,0.9341659599335038,0.649549727141021
20,2,dummy,0.5995085995085995,0.5,0.5972222222222222,0.5,0.3739130434782609,0.5,0.6741327755675425
20,2,logistic,0.9631449631449631,0.9631524690737202,0.9166666666666666,0.9077786688051324,0.9123376623376623,0.9823576583801122,0.17493681832539337
20,2,random_forest,0.9877149877149877,0.9877174896912401,0.9583333333333334,0.9538893344025661,0.956442831215971,0.9887730553327987,0.15960673434744982
20,2,extra_trees,0.9901719901719902,0.9918032786885246,0.9444444444444444,0.9310344827586207,0.9407407407407408,0.9935846030473134,0.19239590064866327
21,4,dummy,0.29658792650918636,0.25,0.30303030303030304,0.25,0.11627906976744186,0.5,1.3566234647109938
21,4,logistic,0.889763779527559,0.8850892831572014,0.803030303030303,0.788888888888889,0.784908825190155,0.9403370859213251,0.5042328933263124
21,4,random_forest,0.994750656167979,0.9936209439528023,0.8484848484848485,0.8208333333333333,0.8256868131868131,0.9602861887508627,0.44838473814813046
21,4,extra_trees,1.0,1.0,0.8939393939393939,0.8722222222222222,0.8792397660818714,0.9706331234184495,0.48351409021113256
22,2,dummy,0.5153664302600472,0.5,0.5135135135135135,0.5,0.3392857142857143,0.5,0.6927887785737364
22,2,logistic,0.9243498817966903,0.9244238084582681,0.9054054054054054,0.9078947368421053,0.9049715648504861,0.9875730994152048,0.17358515456709425
22,2,random_forest,0.9929078014184397,0.9931192660550459,0.8918918918918919,0.8925438596491229,0.8918918918918919,0.9634502923976608,0.28346885190741605
22,2,extra_trees,0.9929078014184397,0.9929738196464534,0.8783783783783784,0.8779239766081872,0.8781781598683007,0.9429824561403508,0.3375436629402393
23,3,dummy,0.35294117647058826,0.3333333333333333,0.3472222222222222,0.3333333333333333,0.17182130584192437,0.5,1.0969689533824507
23,3,logistic,0.8602941176470589,0.8649967503869606,0.7638888888888888,0.7715151515151515,0.7622695035460993,0.8957962604771116,0.6042301699530224
23,3,random_forest,1.0,1.0,0.7777777777777778,0.7775757575757575,0.7704858262692552,0.9327272727272726,0.6216490434156549
23,3,extra_trees,1.0,1.0,0.7222222222222222,0.7278787878787879,0.719347251697472,0.8558091553836235,0.7275519924714989
24,2,dummy,0.517426273458445,0.5,0.5151515151515151,0.5,0.34,0.5,0.6926983340187727
24,2,logistic,0.9705093833780161,0.9701928612550375,0.9545454545454546,0.9540441176470589,0.9544513457556936,0.9972426470588235,0.07825468935518444
24,2,random_forest,0.9973190348525469,0.9974093264248705,0.9848484848484849,0.9852941176470589,0.9848450057405281,1.0,0.08463433950276238
24,2,extra_trees,1.0,1.0,0.9393939393939394,0.9393382352941176,0.9393382352941176,0.9944852941176471,0.1329836763288203
25,2,dummy,0.5236842105263158,0.5,0.5223880597014925,0.5,0.3431372549019608,0.5,0.6921477621851532
25,2,logistic,0.9473684210526315,0.9470001943418751,0.9253731343283582,0.9258928571428571,0.9253065774804905,0.9866071428571428,0.19175020845953475
25,2,random_forest,0.9973684210526316,0.9972375690607735,0.9104477611940298,0.9129464285714286,0.910427807486631,0.9776785714285714,0.2976810370947601
25,2,extra_trees,0.9947368421052631,0.9949748743718593,0.8805970149253731,0.8816964285714286,0.8805704099821747,0.96875,0.37108583551808466
26,3,dummy,0.4152542372881356,0.3333333333333333,0.4126984126984127,0.3333333333333333,0.1947565543071161,0.5,1.0795539562172611
26,3,logistic,0.5621468926553672,0.5694980461555536,0.5079365079365079,0.523962148962149,0.5101431056941674,0.6719669229167708,1.0392362380969322
26,3,random_forest,1.0,1.0,0.8571428571428571,0.8334859584859585,0.8471895301760662,0.9652555834166776,0.5023825200600001
26,3,extra_trees,1.0,1.0,0.7777777777777778,0.7842643467643468,0.7842643467643468,0.9453039916565752,0.6031379566602384
27,4,dummy,0.3278301886792453,0.25,0.32432432432432434,0.25,0.12244897959183673,0.5,1.3682744870356691
27,4,logistic,0.7783018867924528,0.7927428993762768,0.7702702702702703,0.7837301587301587,0.7762740183792816,0.9438392857142857,0.550451781789931
27,4,random_forest,0.9787735849056604,0.9826252734076475,0.8783783783783784,0.888888888888889,0.8819987689552906,0.9814087301587301,0.5514470791324623
27,4,extra_trees,0.9669811320754716,0.9730500764223786,0.7432432432432432,0.7524801587301587,0.7397092009206314,0.924890873015873,0.7454067630678369
28,2,dummy,0.5586034912718204,0.5,0.5571428571428572,0.5,0.3577981651376147,0.5,0.6866066025617797
28,2,logistic,0.9351620947630923,0.9312953995157385,0.9142857142857143,0.9164598842018197,0.9136513157894737,0.9884201819685692,0.1549867072725533
28,2,random_forest,0.9975062344139651,0.9971751412429379,0.9428571428571428,0.9387923904052936,0.9416666666666667,0.9958643507030603,0.12727003244733792
28,2,extra_trees,1.0,1.0,0.9571428571428572,0.9516129032258065,0.9560577526679221,0.9842845326716294,0.2476195278032125
29,2,dummy,0.518918918918919,0.5,0.5151515151515151,0.5,0.34,0.5,0.6927163956641595
